row,col,day,population_id,piperacillin (ug/ml),measurement_type,measurement_value
0,4,1,0|4,0,OD,1.39488432381
0,5,1,0|5,0,OD,1.47932882543
0,6,1,0|6,0,OD,1.18383408143
0,7,1,0|7,0,OD,1.4664233309
0,8,1,0|8,0,OD,1.38458478945
0,9,1,0|9,0,OD,1.525192541
0,10,1,0|10,0,OD,1.42821849175
0,11,1,0|11,0,OD,1.50978278127
1,0,1,1|0,2,OD,0.0140512086842
1,1,1,1|1,2,OD,1.54966015163
1,2,1,1|2,2,OD,1.37229772275
1,3,1,1|3,2,OD,1.34191918995
1,4,1,1|4,2,OD,1.58581450644
1,5,1,1|5,2,OD,1.54295623423
1,6,1,1|6,2,OD,1.64135335341
1,7,1,1|7,2,OD,1.59725357014
1,8,1,1|8,2,OD,1.46856824125
1,9,1,1|9,2,OD,1.54742291481
1,10,1,1|10,2,OD,1.525192541
1,11,1,1|11,2,OD,1.51857323258
2,0,1,2|0,5,OD,0.0953239749394
2,1,1,2|1,5,OD,1.44298587371
2,2,1,2|2,5,OD,1.529618105
2,3,1,2|3,5,OD,1.68168697896
2,4,1,2|4,5,OD,1.45573451806
2,5,1,2|5,5,OD,1.71555008303
2,6,1,2|6,5,OD,1.67212032764
2,7,1,2|7,5,OD,1.69854399582
2,8,1,2|8,5,OD,1.49885092272
2,9,1,2|9,5,OD,1.69130145914
2,10,1,2|10,5,OD,1.62731754675
2,11,1,2|11,5,OD,1.65549235574
3,0,1,3|0,20,OD,0.0796259578051
3,1,1,3|1,20,OD,1.65785899589
3,2,1,3|2,20,OD,1.65076779511
3,3,1,3|3,20,OD,1.54072677841
3,4,1,3|4,20,OD,1.61801693338
3,5,1,3|5,20,OD,1.66022855213
3,6,1,3|6,20,OD,1.70338755161
3,7,1,3|7,20,OD,1.47501736377
3,8,1,3|8,20,OD,1.76999838446
3,9,1,3|9,20,OD,1.75499530776
3,10,1,3|10,20,OD,1.62498817306
3,11,1,3|11,20,OD,1.46428081022
4,0,1,4|0,50,OD,0.0858897959734
4,1,1,4|1,50,OD,1.62964974536
4,2,1,4|2,50,OD,1.44722603825
4,3,1,4|3,50,OD,1.68889332898
4,4,1,4|4,50,OD,1.62266161748
4,5,1,4|5,50,OD,1.57217684587
4,6,1,4|6,50,OD,1.66735478956
4,7,1,4|7,50,OD,1.79526658708
4,8,1,4|8,50,OD,1.80291224678
4,9,1,4|9,50,OD,1.73270790066
4,10,1,4|10,50,OD,1.68889332898
4,11,1,4|11,50,OD,1.48798085595
5,0,1,5|0,100,OD,0.0343041502498
5,1,1,5|1,100,OD,1.56765236636
5,2,1,5|2,100,OD,1.70338755161
5,3,1,5|3,100,OD,1.71799184729
5,4,1,5|4,100,OD,1.64135335341
5,5,1,5|5,100,OD,1.70338755161
5,6,1,5|6,100,OD,1.59496030747
5,7,1,5|7,100,OD,1.65549235574
5,8,1,5|8,100,OD,1.70581391191
5,9,1,5|9,100,OD,1.73270790066
5,10,1,5|10,100,OD,1.65549235574
5,11,1,5|11,100,OD,1.50321621183
6,0,1,6|0,200,OD,0.0817116377326
6,1,1,6|1,200,OD,1.5541424486
6,2,1,6|2,200,OD,1.56088554384
6,3,1,6|3,200,OD,1.58353483627
6,4,1,6|4,200,OD,1.70096424882
6,5,1,6|5,200,OD,1.71311141519
6,6,1,6|6,200,OD,1.53627560577
6,7,1,6|7,200,OD,1.59266977626
