tazobactam,fraction #,ODf,ff,fi,replicate,dilution,ampicillin
0.0,10,1.46428081022,0.751978711764,0.825805326019,0,100.0,5.0
0.0,11,1.98209998497,0.990195545345,0.990643791637,0,100.0,5.0
8.4,0,0.114332324342,,-0.000121274661233,0,100.0,5.0
8.4,1,1.41983062407,0.249123431694,0.0580629825486,0,100.0,5.0
8.4,2,1.56088554384,0.0799589991389,0.115312456098,0,100.0,5.0
8.4,3,1.36008866335,0.111115190404,0.198413361225,0,100.0,5.0
8.4,4,1.33389864576,0.151277677349,0.264396162462,0,100.0,5.0
8.4,5,1.62964974536,0.2148504396,0.3370479041,0,100.0,5.0
8.4,6,1.57444308372,0.284083072307,0.418670161771,0,100.0,5.0
8.4,7,1.4408692922,0.363300607196,0.498534234666,0,100.0,5.0
8.4,8,1.50321621183,0.450697927595,0.612826031436,0,100.0,5.0
8.4,9,1.61569879132,0.585917117461,0.726062333201,0,100.0,5.0
8.4,10,1.5789835871,0.743860628723,0.825805326019,0,100.0,5.0
8.4,11,1.42611809247,0.98919646755,0.990643791637,0,100.0,5.0
14.2,0,0.129247595564,,-0.000121274661233,0,100.0,5.0
14.2,1,1.10230308588,0.741631395241,0.0580629825486,0,100.0,5.0
14.2,2,1.40939697717,0.391099289927,0.115312456098,0,100.0,5.0
14.2,3,1.42821849175,0.125927460529,0.198413361225,0,100.0,5.0
14.2,4,1.29625131706,0.166036976735,0.264396162462,0,100.0,5.0
14.2,5,1.37025748915,0.219462512291,0.3370479041,0,100.0,5.0
14.2,6,1.36618350409,0.272771058971,0.418670161771,0,100.0,5.0
14.2,7,1.54518827769,0.361151204801,0.498534234666,0,100.0,5.0
14.2,8,1.5699132755,0.46053935533,0.612826031436,0,100.0,5.0
14.2,9,1.49885092272,0.594186978031,0.726062333201,0,100.0,5.0
14.2,10,1.54518827769,0.730546240789,0.825805326019,0,100.0,5.0
14.2,11,1.64370264657,0.990459402754,0.990643791637,0,100.0,5.0
24.1,0,0.0516884592466,,-0.000121274661233,0,100.0,5.0
24.1,1,1.40316385308,,0.0580629825486,0,100.0,5.0
24.1,2,1.40939697717,0.601845010416,0.115312456098,0,100.0,5.0
24.1,3,1.36414974348,0.255538984772,0.198413361225,0,100.0,5.0
24.1,4,1.41565036993,0.173777483435,0.264396162462,0,100.0,5.0
24.1,5,1.33189872558,0.219345249031,0.3370479041,0,100.0,5.0
24.1,6,1.38253148549,0.277273159797,0.418670161771,0,100.0,5.0
24.1,7,1.48798085595,0.350742831837,0.498534234666,0,100.0,5.0
24.1,8,1.45360386629,,0.612826031436,0,100.0,5.0
24.1,9,1.59496030747,0.600609424449,0.726062333201,0,100.0,5.0
24.1,10,1.49667198842,0.73881923461,0.825805326019,0,100.0,5.0
24.1,11,1.77754404533,0.990246597948,0.990643791637,0,100.0,5.0
41.0,0,0.0558018251356,,-0.000121274661233,0,100.0,5.0
41.0,1,1.29429014803,0.951154740799,0.0580629825486,0,100.0,5.0
41.0,2,1.28061768136,0.882403066632,0.115312456098,0,100.0,5.0
41.0,3,1.2864654111,,0.198413361225,0,100.0,5.0
41.0,4,1.31399242455,0.631493999727,0.264396162462,0,100.0,5.0
41.0,5,1.50759143247,0.49908321859,0.3370479041,0,100.0,5.0
41.0,6,1.48364997495,0.34384710247,0.418670161771,0,100.0,5.0
41.0,7,1.35199214098,0.379022517908,0.498534234666,0,100.0,5.0
41.0,8,1.43875503769,0.450402616338,0.612826031436,0,100.0,5.0
41.0,9,1.47932882543,0.619274421386,0.726062333201,0,100.0,5.0
41.0,10,1.59725357014,0.737468039173,0.825805326019,0,100.0,5.0
41.0,11,1.63900692673,0.98916153476,0.990643791637,0,100.0,5.0
69.8,0,0.0785839654904,,-0.000121274661233,0,100.0,5.0
69.8,1,1.30214685286,0.968254947581,0.0580629825486,0,100.0,5.0
69.8,2,1.34997332544,0.945625959866,0.115312456098,0,100.0,5.0
